1,AT ==> DE ==> BG,,,,,,,,,"If any country use the Germany as Transit Hub ""Additional Time"" and ""Additional KM""",,,,,,,,,,,,
,,,,,,,,,,,,ORG,DEST,,,Time ,Km,Time2,Km2,,Total Time,Total Km
,,,,,,,,,,SE ==> DE ==> GB,7,Neumünster,Regensburg,Dorsten,,3.566666667,396,,,,,
,,,,,,,,,,SE ==> DE ==> GR,8,Neumünster,Regensburg,Feucht,,6.183333333,710,,,,,
,,,,,,,,,,SE ==> DE ==> HR,9,Neumünster,Regensburg,Feucht,,6.183333333,710,,,,,
,,,,,,,,,,SE ==> DE ==> HU,10,Neumünster,Regensburg,Feucht,,6.183333333,710,,,,,
,,,,,,,,,,SE ==> DE ==> IE,11,Neumünster,Regensburg,Köln,,4.466666667,480,,,,,
,,,,,,,,,,SE ==> DE ==> LU,12,Neumünster,Regensburg,Köln,,4.466666667,480,,,,,
,,,,,,,,,,SE ==> DE ==> NL,13,Neumünster,Regensburg,Dorsten,,3.566666667,396,,,,,
,,,,,,,,,,SE ==> DE ==> PT,14,Neumünster,Regensburg,Speyer,,6.066666667,663,,,,,
,,,,,,,,,,SE ==> DE ==> RO,15,Neumünster,Regensburg,Feucht,,6.183333333,710,,,,,
,,,,,,,,,,SE ==> DE ==> SE,16,Neumünster,Regensburg,Hamburg,,0.933333333,68,,,,,
,,,,,,,,,,SE ==> DE ==> SI,17,Neumünster,Regensburg,,,6.683333333,769,,,,,
,,,,,,,,,,SE ==> DE ==> SK,18,Neumünster,Regensburg,,,6.683333333,769,,,,,
,,,,,,,,,,SI ==> DE ==> BG,1,Feucht,,,,0.00,0,,,,,
,,,,,,,,,,SI ==> DE ==> BE,2,Feucht,Regensburg,Köln,,3.87,429,,,,,
,,,,,,,,,,SI ==> DE ==> DK,3,Feucht,Regensburg,Hamburg,,5.45,643,,,,,
,,,,,,,,,,SI ==> DE ==> ES,4,Feucht,Regensburg,Speyer,,2.20,234,,,,,
,,,,,,,,,,SI ==> DE ==> FI,5,Feucht,Regensburg,Hamburg,,5.45,643,,,,,
,,,,,,,,,,SI ==> DE ==> FR,6,Feucht,Regensburg,Lahr,,3.08,350,,,,,
,,,,,,,,,,SI ==> DE ==> GB,7,Feucht,Regensburg,Dorsten,,4.60,514,,,,,
,,,,,,,,,,SI ==> DE ==> GR,8,Feucht,Regensburg,Feucht,,0.00,0,,,,,
,,,,,,,,,,SI ==> DE ==> HR,9,Feucht,,,,0.00,0,,,,,
,,,,,,,,,,SI ==> DE ==> HU,10,Feucht,,,,0.00,0,,,,,
,,,,,,,,,,SI ==> DE ==> IE,11,Feucht,Regensburg,Köln,,3.87,429,,,,,
,,,,,,,,,,SI ==> DE ==> LU,12,Feucht,Regensburg,Köln,,3.87,429,,,,,
,,,,,,,,,,SI ==> DE ==> NL,13,Feucht,Regensburg,Dorsten,,4.60,514,,,,,
,,,,,,,,,,SI ==> DE ==> PT,14,Feucht,Regensburg,Speyer,,2.20,234,,,,,
,,,,,,,,,,SI ==> DE ==> RO,15,Feucht,,,,0.00,0,,,,,
,,,,,,,,,,SI ==> DE ==> SI,16,Feucht,Regensburg,Hamburg,,5.45,643,,,,,
,,,,,,,,,,SI ==> DE ==> SI,17,Feucht,Regensburg,,,0.98,93.4,,,,,
,,,,,,,,,,SI ==> DE ==> SK,18,Feucht,Regensburg,,,0.98,93.4,,,,,
